booking_code,service_name,status,shoot_date,crew_rows,net_revenue_ngn,labour_ngn,margin_ngn,margin_on_trusted_labour_ngn,verdict,evidence
BK-02437,Photoshoot,Completed,2024-08-17,46,1917000.0,6933500.0,-5016500.0,-4567000.0,genuine_loss,"1 crew-days also logged on another job (NGN 295,000); NGN 309,000 at estimated rates; 1 impossible 26h entries"
BK-02103,Studio Rental,Completed,2024-04-07,19,837000.0,5378000.0,-4541000.0,-3713000.0,genuine_loss,"1 crew-days also logged on another job (NGN 391,500); NGN 873,000 at estimated rates; 1 impossible 26h entries"
BK-02309,Photoshoot,Completed,2024-07-04,23,1365000.0,5517500.0,-4152500.0,-3428000.0,genuine_loss,"2 crew-days also logged on another job (NGN 615,000); NGN 219,000 at estimated rates"
BK-02632,Studio Rental,Completed,2024-10-27,32,698000.0,4477500.0,-3779500.0,-3550000.0,genuine_loss,"3 crew-days also logged on another job (NGN 169,000); NGN 121,000 at estimated rates"
BK-01616,Photoshoot,Completed,2023-09-27,36,2822450.0,6161000.0,-3338550.0,-2705050.0,genuine_loss,"2 crew-days also logged on another job (NGN 505,000); NGN 257,000 at estimated rates"
BK-01966,Studio Rental,Invoiced,2024-01-12,36,1466010.0,4792000.0,-3325990.0,-3078990.0,genuine_loss,"NGN 494,000 at estimated rates"
BK-02145,Studio Rental,Completed,2024-04-24,24,949000.0,4140500.0,-3191500.0,-2143000.0,genuine_loss,"5 crew-days also logged on another job (NGN 825,000); NGN 447,000 at estimated rates"
BK-02988,Photoshoot,Completed,2025-03-08,31,3757000.0,6608000.0,-2851000.0,-2308500.0,genuine_loss,"3 crew-days also logged on another job (NGN 542,500)"
BK-02682,Studio Rental,Invoiced,2024-11-07,23,1235000.0,4006000.0,-2771000.0,-2202000.0,genuine_loss,"3 crew-days also logged on another job (NGN 569,000); NGN 210,000 at estimated rates"
BK-01304,Studio Rental,Completed,2023-06-10,16,2340000.0,4994500.0,-2654500.0,-1930000.0,genuine_loss,"2 crew-days also logged on another job (NGN 664,500); NGN 120,000 at estimated rates"
BK-02198,Studio Rental,Unknown,2024-05-20,24,2108000.0,4359000.0,-2251000.0,-625500.0,genuine_loss,"9 crew-days also logged on another job (NGN 1,625,500); NGN 37,000 at estimated rates"
BK-01935,Studio Rental,Completed,2023-12-26,23,1240000.0,3358000.0,-2118000.0,-1112500.0,genuine_loss,"5 crew-days also logged on another job (NGN 826,000); NGN 359,000 at estimated rates"
BK-02783,Unknown,Postponed,2024-12-05,16,1664000.0,3767000.0,-2103000.0,-1174500.0,genuine_loss,"2 crew-days also logged on another job (NGN 700,000); NGN 457,000 at estimated rates; service type never recorded"
BK-02427,Photoshoot,Completed,2024-08-12,24,2050000.0,4146500.0,-2096500.0,-1431500.0,genuine_loss,"4 crew-days also logged on another job (NGN 534,000); NGN 497,000 at estimated rates"
BK-01291,Studio Rental,Postponed,2023-06-06,20,959500.0,3029000.0,-2069500.0,-1414000.0,genuine_loss,"4 crew-days also logged on another job (NGN 568,000); NGN 175,000 at estimated rates"
BK-02039,Studio Rental,In Production,2024-03-09,12,249000.0,2291500.0,-2042500.0,-1346000.0,genuine_loss,"3 crew-days also logged on another job (NGN 575,000); NGN 243,000 at estimated rates; 1 impossible 26h entries"
BK-02418,Photoshoot,In Production,2024-08-10,31,3433000.0,5386500.0,-1953500.0,-774000.0,genuine_loss,"5 crew-days also logged on another job (NGN 892,500); NGN 1,044,000 at estimated rates"
BK-01876,Studio Rental,Completed,2023-12-11,16,523800.0,2378500.0,-1854700.0,-1590700.0,genuine_loss,"2 crew-days also logged on another job (NGN 264,000)"
BK-01916,Studio Rental,Postponed,2023-12-23,16,1257300.0,3050000.0,-1792700.0,-1613200.0,genuine_loss,"2 crew-days also logged on another job (NGN 159,500); NGN 40,000 at estimated rates"
BK-02369,Studio Rental,Completed,2024-07-26,12,1242000.0,2915500.0,-1673500.0,-884500.0,genuine_loss,"4 crew-days also logged on another job (NGN 789,000)"
