session_id	session_start_utc	session_date_lagos	visitor_id	source	channel	medium	campaign	gclid	device	country	landing_page	page_views	duration_seconds	user_agent	is_new_visitor	converted	transaction_id	revenue_ngn	is_bot	is_spam
S000146083	2025-01-01T04:10:02Z	2025-01-01	u042637	direct	Direct	paid	harmattan_drop	Cj0KCQ1602541579	Mobile	United States	/	9	238	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146084	2025-01-01T08:07:45Z	2025-01-01	u008053	twitter	Referral / Other	none	black_friday	Not applicable	Mobile	Nigeria	/	1	0	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	False	False	Not applicable	0.0	False	False
S000146085	2025-01-01T17:21:23Z	2025-01-01	u067710	behance	Referral / Other	paid	black_friday	Cj0KCQ3873541618	Mobile	Nigeria	/rates	4	307	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146086	2025-01-01T17:20:27Z	2025-01-01	u049852	google	Google	social	retarget_q4	Not applicable	Mobile	Nigeria	/rates	1	19	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15	True	False	Not applicable	0.0	False	False
S000146087	2025-01-01T20:37:47Z	2025-01-01	u025658	youtube	YouTube	paid	Not applicable	Cj0KCQ1863070723	Mobile	Nigeria	/portfolio	2	150	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	False	False	Not applicable	0.0	False	False
S000146088	2025-01-01T21:18:58Z	2025-01-01	u043201	facebook	Facebook / Meta	referral	brand_always_on	Not applicable	Mobile	United Kingdom	/shop	1	0	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	False	False	Not applicable	0.0	False	False
S000146089	2025-01-01T17:15:31Z	2025-01-01	u053709	vimeo	Referral / Other	paid	wedding_season_23	Cj0KCQ5401010118	Desktop	Nigeria	/shop	3	215	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15	True	False	Not applicable	0.0	False	False
S000146090	2025-01-01T18:18:44Z	2025-01-01	u026112	meta	Facebook / Meta	social	brand_always_on	Not applicable	Desktop	Ghana	/blog/5-tips-for-your-wedding-film	1	64	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	True	False	Not applicable	0.0	False	False
S000146091	2025-01-01T13:04:39Z	2025-01-01	u074406	linkedin	Referral / Other	none	harmattan_drop	Not applicable	Desktop	South Africa	/contact	4	93	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	False	False	Not applicable	0.0	False	False
S000146092	2025-01-01T19:18:10Z	2025-01-01	u021490	google	Google	social	lagos_nights_launch	Not applicable	Desktop	United States	/shop/harmattan-drop	4	128	Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120	False	False	Not applicable	0.0	False	False
