booking_id,client_id,service_type,shoot_date,shoot_days,location_city,currency,gross_amount_ngn,discount_pct,net_amount_ngn,fx_converted,status,lead_source,vat_applied,notes,dq_flags
BK-01959,XT-00530,Photoshoot,2024-01-01,1,Abuja,NGN,2639000.0,0.0,2639000.0,False,Completed,Referral,False,Not applicable,No issues
BK-01960,XT-00172,Music Video,2024-01-01,1,Lagos,NGN,17877000.0,0.15,15195450.0,False,In Production,TikTok,True,Not applicable,No issues
BK-01961,XT-00889,Wedding Film,2024-01-01,2,Abuja,NGN,5190000.0,0.0,5190000.0,False,Completed,TikTok,True,"See contract, clause 4b - travel, per diem",location_city_taken_from_client
BK-01962,XT-00925,Commercial / TVC,2024-01-06,1,Lagos,NGN,9112000.0,0.0,9112000.0,False,Completed,Walk-in,True,Not applicable,No issues
BK-01963,XT-01748,Photoshoot,2024-01-10,1,Lagos,NGN,2451000.0,0.0,2451000.0,False,Invoiced,Repeat Client,True,client rescheduled once,No issues
BK-01964,XT-00952,Commercial / TVC,2024-01-12,1,Dubai,NGN,20382492.91,0.0,20382492.91,True,Cancelled,Walk-in,True,RAW files delivered on 2 x 1TB SSD,location_city_taken_from_client
BK-01965,XT-00860,Corporate Documentary,2024-01-12,1,London,NGN,7818720.0,0.0,7818720.0,True,Completed,Unknown,True,"half payment received, balance pending",No issues
BK-01966,XT-00063,Studio Rental,2024-01-12,3,London,NGN,1466010.0,0.0,1466010.0,True,Invoiced,Unknown,False,"Client said ""make it cinematic, like Nolan""",No issues
BK-01967,XT-00697,Studio Rental,2024-01-13,2,Lagos,NGN,1597000.0,0.0,1597000.0,False,Completed,Repeat Client,False,Not applicable,No issues
BK-01968,XT-00606,Corporate Documentary,2024-01-15,1,Lagos,NGN,15169000.0,0.0,15169000.0,False,Completed,Agency Partner,False,Not applicable,location_city_taken_from_client
BK-01969,XT-00059,Event Coverage,2024-01-16,1,London,NGN,3323022.01,0.0,3323022.01,True,Completed,Referral,True,"Overtime: crew stayed till 2am, billed separately",No issues
BK-01970,XT-00896,Commercial / TVC,2024-01-16,1,London,NGN,25004918.08,0.0,25004918.08,True,Completed,Unknown,True,RAW files delivered on 2 x 1TB SSD,No issues
BK-01971,XT-00406,Photoshoot,2024-01-18,1,Port Harcourt,NGN,3277000.0,0.0,3277000.0,False,Completed,Walk-in,True,client rescheduled once,location_city_taken_from_client
BK-01972,XT-00223,Corporate Documentary,2024-01-19,1,Lagos,NGN,11707000.0,0.0,11707000.0,False,Postponed,Instagram,True,Not applicable,No issues
BK-01973,XT-00076,Photoshoot,2024-01-19,1,Lagos,NGN,637000.0,0.0,637000.0,False,In Production,Referral,Unknown,Not applicable,vat_applied_conflicting_duplicates
BK-01974,XT-01663,Studio Rental,2024-01-21,1,Lagos,NGN,888000.0,0.1,799200.0,False,Invoiced,Unknown,True,Not applicable,No issues
BK-01975,XT-00377,Corporate Documentary,2024-01-27,1,Ibadan,NGN,12369000.0,0.0,12369000.0,False,Completed,Google,True,client rescheduled once,No issues
BK-01976,XT-00018,Event Coverage,2024-01-28,2,Abuja,NGN,1156000.0,0.0,1156000.0,False,Completed,Walk-in,False,"See contract, clause 4b - travel, per diem",No issues
BK-01977,XT-00966,Commercial / TVC,2024-01-28,1,Dubai,NGN,8900676.3,0.0,8900676.3,True,In Production,Referral,False,client rescheduled once,fx_rate_carried_from_earlier_day
BK-01978,XT-00352,Wedding Film,2024-01-28,1,Enugu,NGN,2360000.0,0.0,2360000.0,False,Completed,Agency Partner,True,"Client said ""make it cinematic, like Nolan""",No issues
BK-01979,XT-01131,Music Video,2024-01-28,1,London,NGN,9538209.75,0.0,9538209.75,True,Completed,Referral,True,Not applicable,fx_rate_carried_from_earlier_day
BK-01980,XT-01446,Event Coverage,2024-01-31,1,Ibadan,NGN,942000.0,0.0,942000.0,False,Postponed,Instagram,True,Not applicable,shoot_days_counted_from_timesheets
BK-01981,XT-00371,Wedding Film,2024-01-31,2,Abuja,NGN,5968000.0,0.05,5669600.0,False,Completed,TikTok,True,Not applicable,No issues
BK-01982,XT-01541,Short Film,2024-01-31,1,Abuja,NGN,16391000.0,0.0,16391000.0,False,In Production,Google,True,Not applicable,No issues
BK-01983,XT-00895,Wedding Film,2024-02-01,1,Abuja,NGN,6636000.0,0.0,6636000.0,False,Cancelled,Unknown,False,Not applicable,No issues
BK-01984,XT-00015,Event Coverage,2024-02-02,1,Ibadan,NGN,4326000.0,0.0,4326000.0,False,Completed,Google,True,Not applicable,No issues
BK-01985,XT-00020,Commercial / TVC,2024-02-02,2,Abuja,NGN,24930000.0,0.0,24930000.0,False,In Production,Google,False,Not applicable,No issues
BK-01986,XT-01568,Music Video,2024-02-02,1,Lagos,NGN,18398000.0,0.0,18398000.0,False,Completed,Google,True,RAW files delivered on 2 x 1TB SSD,No issues
BK-01987,XT-01206,Unknown,2024-02-04,1,Kano,NGN,2958000.0,0.1,2662200.0,False,Completed,Walk-in,True,Not applicable,service_type_missing
BK-01988,XT-01649,Commercial / TVC,2024-02-06,1,Lagos,NGN,17698000.0,0.0,17698000.0,False,Completed,Google,True,RAW files delivered on 2 x 1TB SSD,No issues
BK-01989,XT-00768,Commercial / TVC,2024-02-06,1,Ibadan,NGN,47457000.0,0.0,47457000.0,False,Completed,Walk-in,False,"Overtime: crew stayed till 2am, billed separately",location_city_taken_from_client
