file,column,blank_rows,rows,pct_blank,kind,placeholder_written,blank_means
bookings_2023.csv,dq_flags,730,958,76.2,expected,No issues,no data-quality issue was found on this row
bookings_2023.csv,notes,369,958,38.52,expected,Not applicable,no note was written
bookings_2023.csv,lead_source,155,958,16.18,unrecorded,Unknown,not recorded
bookings_2023.csv,service_type,54,958,5.64,unrecorded,Unknown,"not recorded, and nothing else in the data identifies the service"
bookings_2023.csv,status,25,958,2.61,unrecorded,Unknown,"not recorded; the booking has crew days, so it was not cancelled, but which of the four live statuses applied is unknown"
bookings_2023.csv,shoot_days,7,958,0.73,unrecorded,Unknown,"not recorded, and the booking has no timesheets to count days from"
bookings_2023.csv,location_city,1,958,0.1,unrecorded,Unknown,"not recorded, and the client has no city either"
bookings_2024.csv,dq_flags,700,937,74.71,expected,No issues,no data-quality issue was found on this row
bookings_2024.csv,notes,352,937,37.57,expected,Not applicable,no note was written
bookings_2024.csv,lead_source,157,937,16.76,unrecorded,Unknown,not recorded
bookings_2024.csv,service_type,51,937,5.44,unrecorded,Unknown,"not recorded, and nothing else in the data identifies the service"
bookings_2024.csv,status,20,937,2.13,unrecorded,Unknown,"not recorded; the booking has crew days, so it was not cancelled, but which of the four live statuses applied is unknown"
bookings_2024.csv,vat_applied,7,937,0.75,expected,Unknown,duplicate copies of this booking disagreed on the VAT flag
bookings_2024.csv,shoot_days,2,937,0.21,unrecorded,Unknown,"not recorded, and the booking has no timesheets to count days from"
bookings_2025_H1.xlsx,dq_flags,314,366,85.79,expected,No issues,no data-quality issue was found on this row
bookings_2025_H1.xlsx,notes,192,366,52.46,expected,Not applicable,no note was written
bookings_2025_H1.xlsx,lead_source,79,366,21.58,unrecorded,Unknown,not recorded
bookings_2025_H1.xlsx,service_type,10,366,2.73,unrecorded,Unknown,"not recorded, and nothing else in the data identifies the service"
bookings_2025_H1.xlsx,location_city,1,366,0.27,unrecorded,Unknown,"not recorded, and the client has no city either"
clients_export.csv,merged_from,1776,1900,93.47,expected,Not applicable,this client absorbed no duplicate record
