year,status,jobs,revenue_ngn,share_of_year_revenue_pct
2023,Completed,606,4867533117.97,73.22
2023,In Production,89,528302632.08,7.95
2023,Invoiced,78,670852484.95,10.09
2023,Postponed,72,391740173.52,5.89
2023,Unknown,25,189441694.93,2.85
2024,Completed,566,5723472151.82,66.16
2024,In Production,81,792447927.61,9.16
2024,Invoiced,97,933986620.79,10.8
2024,Postponed,90,1002282969.05,11.58
2024,Unknown,20,199378706.08,2.3
2025,Completed,231,3087975271.43,71.17
2025,In Production,33,320819533.61,7.39
2025,Invoiced,33,330529666.02,7.62
2025,Postponed,37,599846015.83,13.82
