booking_id,client_id,service_type,shoot_date,shoot_days,location_city,currency,gross_amount_ngn,discount_pct,net_amount_ngn,fx_converted,status,lead_source,notes,dq_flags
BK-01001,XT-00583,Event Coverage,2023-01-02,1,Lagos,NGN,2542000.0,0.0,2542000.0,False,Completed,Referral,"See contract, clause 4b - travel, per diem",No issues
BK-01002,XT-01093,Photoshoot,2023-01-04,1,Enugu,NGN,1152000.0,0.0,1152000.0,False,Invoiced,Unknown,Not applicable,No issues
BK-01003,XT-00881,Corporate Documentary,2023-01-04,1,Accra,NGN,7726000.0,0.0,7726000.0,False,Completed,Unknown,"Client said ""make it cinematic, like Nolan""",No issues
BK-01004,XT-00116,Studio Rental,2023-01-05,1,Abuja,NGN,1386000.0,0.0,1386000.0,False,Postponed,Referral,"half payment received, balance pending",No issues
BK-01005,XT-00927,Wedding Film,2023-01-05,5,Dubai,NGN,4546868.3,0.0,4546868.3,True,Completed,Instagram,Not applicable,location_city_taken_from_client
BK-01006,XT-01457,Commercial / TVC,2023-01-08,Unknown,Lagos,NGN,20080000.0,0.0,20080000.0,False,Cancelled,Agency Partner,"Overtime: crew stayed till 2am, billed separately","shoot_days_missing,location_city_taken_from_client"
BK-01007,XT-00463,Commercial / TVC,2023-01-08,1,Lagos,NGN,26978000.0,0.0,26978000.0,False,Completed,Walk-in,drone denied by airport authority,No issues
BK-01008,XT-00923,Commercial / TVC,2023-01-08,1,Abuja,NGN,26238000.0,0.0,26238000.0,False,Completed,Google,RAW files delivered on 2 x 1TB SSD,No issues
BK-01009,XT-01237,Event Coverage,2023-01-08,2,Lagos,NGN,3963000.0,0.05,3764850.0,False,Completed,Walk-in,drone denied by airport authority,No issues
BK-01010,XT-01572,Commercial / TVC,2023-01-12,1,Johannesburg,NGN,32598000.0,0.0,32598000.0,False,In Production,Agency Partner,Not applicable,No issues
BK-01011,XT-01622,Studio Rental,2023-01-12,1,Kano,NGN,156000.0,0.05,148200.0,False,Completed,Referral,"Client said ""make it cinematic, like Nolan""",No issues
BK-01012,XT-01511,Wedding Film,2023-01-12,1,Atlanta,NGN,772350.95,0.0,772350.95,True,Postponed,TikTok,"See contract, clause 4b - travel, per diem",No issues
BK-01013,XT-00049,Wedding Film,2023-01-17,1,Lagos,NGN,5453000.0,0.0,5453000.0,False,Completed,Google,RAW files delivered on 2 x 1TB SSD,No issues
BK-01014,XT-00771,Photoshoot,2023-01-18,1,Abuja,NGN,3231000.0,0.0,3231000.0,False,Cancelled,Referral,"See contract, clause 4b - travel, per diem",No issues
BK-01015,XT-00920,Unknown,2023-01-24,1,Abuja,NGN,25056000.0,0.0,25056000.0,False,Postponed,Repeat Client,Not applicable,"location_city_taken_from_client,service_type_missing"
BK-01016,XT-01111,Wedding Film,2023-01-26,2,Abuja,NGN,3550000.0,0.0,3550000.0,False,Invoiced,Unknown,RAW files delivered on 2 x 1TB SSD,No issues
BK-01017,XT-01655,Photoshoot,2023-01-26,1,Atlanta,NGN,247820.53,0.0,247820.53,True,Cancelled,Walk-in,"See contract, clause 4b - travel, per diem",No issues
BK-01018,XT-00260,Studio Rental,2023-01-26,1,Lagos,NGN,1165000.0,0.0,1165000.0,False,Completed,Instagram,Not applicable,No issues
BK-01019,XT-00669,Commercial / TVC,2023-01-26,1,Atlanta,NGN,5563813.77,0.0,5563813.77,True,Completed,Referral,drone denied by airport authority,No issues
BK-01020,XT-01086,Studio Rental,2023-01-29,1,Lagos,NGN,1250000.0,0.15,1062500.0,False,Completed,Referral,"half payment received, balance pending",No issues
